"AB/2, m",ER-1,ER-2,ER-3,ER-4,ER-5,ER-6,ER-7,ER-8,ER-9,ER-10,ER-11,ER-12,ER-13,ER-14,ER-15,
2,2236,1295,1424,8054,2385,1225,1920,2954,104.9,1928,5655,105.1,279.9,276.9,181.9,
3,1892,1330,626.6,1454,2940,380.6,1445,994.6,139.7,7412,144.2,122.8,141.1,221.3,914.8,
4,1854,620.1,746,3113,3007,1489,1498,219.3,104.4,737.7,4698,1267,317.2,638.7,9423,
5,1883,2329,606.3,3068,1881,1348,1089,825.1,3313,1548,172.9,4896,1909,120,885.6,
6,186,2572,3842,5999,3556,1547,1643,2631,1568,3184,2545,4115,169.3,402.2,5546,
7,1121,464.4,623.6,2376,6937,3171,6444,779.5,100.2,3607,881.9,3406,5738,100.2,277.2,
8,2570,101.2,2282,5668,2103,1488,3158,706.7,6679,3466,975.3,161.8,2519,745.9,181.3,
9,724,1103,2912,6286,2108,1311,482.7,931.4,106.1,243,3717,8933,233.2,780.6,2201,
10,1205,1163,1241,7150,2228,141.3,1775,126.5,1015,891.3,1718,2721,420.8,107.5,5696,
11,721.8,1867,122,4946,2499,280.7,2115,127.2,1123,114.7,1394,140,682.5,727.9,6633,
12,1733,1386,614.5,213.8,1367,101.9,141.5,3757,3876,2324,240.4,135.1,101.6,2330,100.3,
13,840.1,3584,2302,4424,4325,141.1,2712,418.2,1152,5922,103.9,225.6,190,711.4,842.8,
14,631.8,309.7,708.3,4775,1747,1527,1660,501.4,636.1,161.2,441.5,199,479.7,291.8,7703,
15,140.2,676.9,1566,7229,1686,1954,3756,3334,1200,2262,570.9,9889,280,8805,213.3,
