AB/2,ER-all,ER-10
0.22,257.9482368,257.9482368
0.3,312.71888,312.71888
0.45,126.3602725,126.3602725
0.6,186.1706,186.1706
0.9,158.13668,158.13668
1,152.736665,152.736665
1.2,146.80285,146.80285
1.8,119.140235,119.140235
2,107.7014767,107.7014767
2.4,98.32125,98.32125
3,84.02901667,84.02901667
3.6,65.79849067,65.79849067
4,56.56832111,56.56832111
4.8,46.73094533,46.73094533
5,42.06919667,43.01416222
6,38.68846333,38.25619
7,33.00593556,30.28032833
7.2,28.71425333,26.79676
8,34.22687222,36.27066333
9,33.89944,31.776015
10,20.35714333,14.837285
